supplier_code	Price1_USD	Price5_USD	Price2_USD	Price4_USD	Price3_USD	Smiles	MDLN	Chemical_Name	CAS_RN	Link	Purity	Quantity4	Quantity5	Quantity1	Quantity2	Quantity3
SPC-t253	47	400	74	234	147	O=S(c1cccc2cccnc12)(Cl)=O	MFCD00006808	quinoline-8-sulfonyl chloride	18704-37-5	http://spirochem.com/quinoline-8-sulfonyl-chloride.html	95	50G	100G	5G	10G	25G
SPC-t254	172	2516	342	855	570	[O-]C(c1cccc2ncncc12)=O.[Na+]		sodium quinazoline-5-carboxylate	2173991-82-5	http://spirochem.com/sodium-quinazoline-5-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t255	139	2683	273	683	456	O=C1C2(CC2)CC1	MFCD00604224	spiro[2.3]hexan-4-one	20571-15-7	http://spirochem.com/spiro-2-3-hexan-4-one.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t256	514	 	1511	 	2516	CC(C)(C)OC(N(CCCC1)[C@@H]1c1cc(N)ccc1)=O		tert-Butyl 2-(3-aminophenyl)piperidine-1-carboxylate	908334-27-0	http://spirochem.com/tert-butyl-2-3-aminophenyl-piperidine-1-carboxylate.html	95			1G	5G	10G
SPC-t260	252	 	502	1230	836	CC(C)(C)OC(N1[C@](C)(CNC)CCC1)=O	MFCD23106106	tert-butyl (2S)-2-methyl-2-[(methylamino)methyl]pyrrolidine-1-carboxylate	1408002-80-1	http://spirochem.com/tert-butyl-2s-2-methyl-2-methylamino-methyl-pyrrolidine-1-carboxylate.html	95	1G		0.1G	0.25G	0.5G
SPC-t261	228	 	683	 	1139	CC(C)(C)OC(N(CC1)C[C@@H]1n(c(NC)c1C(N)=O)nc1Br)=O		tert-butyl (3R)-3-[3-bromo-4-carbamoyl-5-(methylamino)-1H-pyrazol-1-yl]pyrrolidine-1-carboxylate	2173637-25-5	http://spirochem.com/tert-butyl-3r-3-3-bromo-4-carbamoyl-5-methylamino-1h-pyrazol-1-yl-pyrrolidine-1-carboxylate.html	95			1G	5G	10G
SPC-t262	273	4024	547	1342	912	CC(C)(C)OC(N(CCC1)C[C@]1(CO)F)=O		tert-butyl (3R)-3-fluoro-3-(hydroxymethyl)piperidine-1-carboxylate	2102412-17-7	http://spirochem.com/tert-butyl-3r-3-fluoro-3-hydroxymethyl-piperidine-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t263	114	1677	228	570	342	CC(C)(C)OC(N(CC1)C[C@H]1n(c(NC)c1C(N)=O)nc1Br)=O		tert-butyl (3S)-3-[3-bromo-4-carbamoyl-5-(methylamino)-1H-pyrazol-1-yl]pyrrolidine-1-carboxylate	2173637-18-6	http://spirochem.com/tert-butyl-3s-3-3-bromo-4-carbamoyl-5-methylamino-1h-pyrazol-1-yl-pyrrolidine-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t264	82	1275	241	741	422	CC(C)(C)OC(N(CC1)C[C@H]1C#N)=O	MFCD03419277	tert-butyl (3S)-3-cyanopyrrolidine-1-carboxylate	132945-78-9	http://spirochem.com/tert-butyl-3s-3-cyanopyrrolidine-1-carboxylate.html	95	25G	50G	1G	5G	10G
SPC-t265	456	 	1342	 	 	CC(C)(C)OC(N(CCC1=O)C[C@@H]1F)=O	NA	tert-butyl (3S)-3-fluoro-4-oxopiperidine-1-carboxylate	1450879-67-0	http://spirochem.com/tert-butyl-3s-3-fluoro-4-oxopiperidine-1-carboxylate.html	95			1G	5G	
SPC-t266	47	446	82	252	139	C[C@@H](C1)NCCN1C(OC(C)(C)C)=O	MFCD02683204	tert-butyl (3S)-3-methylpiperazine-1-carboxylate	147081-29-6	http://spirochem.com/tert-butyl-3s-3-methylpiperazine-1-carboxylate.html	95	100G	250G	10G	25G	50G
SPC-t268	172	2516	342	855	570	CC(C)(C)OC(N(CCC1)CC[C@H]1N)=O	MFCD16294632 	tert-butyl (4S)-4-aminoazepane-1-carboxylate	878630-84-3	http://spirochem.com/tert-butyl-4s-4-aminoazepane-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t269	174	2612	349	871	581	CC(C)(C)OC(N(CCC1C2)CC12N)=O	MFCD28390336	tert-butyl 1-amino-3-azabicyclo[4.1.0]heptane-3-carboxylate	1250993-33-9	http://spirochem.com/tert-butyl-1-amino-3-azabicyclo-4-1-0-heptane-3-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t270	560	 	1622	5253	2683	CC(C)(C)OC(N(CC1)CCC11O[C@@H](CN)CC1)=O.Cl		tert-butyl 2-(aminomethyl)-1-oxa-8-azaspiro[4.5]decane-8-carboxylate hydrochloride	2173991-97-2	http://spirochem.com/tert-butyl-2-aminomethyl-1-oxa-8-azaspiro-4-5-decane-8-carboxylate-hydrochloride.html	95	25G		1G	5G	10G
SPC-t271	176	 	396	1979	1187	CC(C)(C)OC(CC1CNC1)=O.Cl		tert-butyl 2-(azetidin-3-yl)acetate hydrochloride	2173991-98-3	http://spirochem.com/tert-butyl-2-azetidin-3-yl-acetate-hydrochloride.html	95	10G		0.25G	1G	5G
SPC-t272	126	1969	377	1128	650	CC(C)(C)OC(N1C[C@@H](C(C)=O)OCC1)=O	MFCD15142713	tert-butyl 2-acetylmorpholine-4-carboxylate	1228600-46-1	http://spirochem.com/tert-butyl-2-acetylmorpholine-4-carboxylate.html	95	25G	50G	1G	5G	10G
SPC-t274	248	3622	494	1208	820	CC(C)(C)OC(N1C[C@@](CC2)(CC2=O)CCC1)=O		tert-butyl 2-oxo-7-azaspiro[4.5]decane-7-carboxylate	1793108-63-0	http://spirochem.com/tert-butyl-2-oxo-7-azaspiro-4-5-decane-7-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t275	170	 	339	844	563	CC(C)(C)OC(N(CCC1)C[C@H]1c1ncc[nH]1)=O		tert-butyl 3-(1H-imidazol-2-yl)piperidine-1-carboxylate	1260672-41-0	http://spirochem.com/tert-butyl-3-1h-imidazol-2-yl-piperidine-1-carboxylate.html	95	1G		0.1G	0.25G	0.5G
SPC-t276	150	 	297	743	495	CC(C)(C)OC(N(C1)CC1C(C)(C)N)=O	MFCD28501583	tert-butyl 3-(2-aminopropan-2-yl)azetidine-1-carboxylate	1638768-77-0	http://spirochem.com/tert-butyl-3-2-aminopropan-2-yl-azetidine-1-carboxylate.html	95	1G		0.1G	0.25G	0.5G
